Gene	Abba 2005 (ER)	Alexe 2007 (lymphocytic genes)	Ascierto 2012 (immune 349 genes)	Ayers 2004 (pCR elevated)	Beck 2009 (CSF1 macrophage)	Bertucci 2006 (ductal vs medullary)	Bianchini 2010 (22 genes)	Biocarta IL12	Biocarta IL13	Biocarta IL2	Biocarta IL4	Bos 2009 (brain met cell line)	Bos 2009 (brain met human)	Carter 2006 (CIN 25)	Carter 2006 (CIN 70)	Chang 2004 (CSR)	Chanrion 2008 (Tamoxifen 36 genes)	Cheang 2008 (TN prognostic predictor)	Choi 2010 (quintuple negative)	Coutant 2011 (ER- 30 genes)	Coutant 2011 (ER+ 39 genes)	Dai 2005 (cell proliferation)	Dairkee 2007 (oxidative stress)	Der 1998 (interferon induced)	Finak 2008 (SDPP)	Filipits 2011 (ER+/HER2- PCR 11 genes)	Galon 2006 (immune suppression)	Galon 2006 (immunogenes)	Galon 2006 (inflammation)	Galon 2006 (Th1 adaptive immunity)	Glinsky 2005 (poor prognosis)	Goldrath (immune memory)	Habermann 2009 (genomic instability)	RBHallett 2012 (basal 14 genes)	Hannemann 2006 (invasiveness)	Hess 2006 (pCR chemotherapy)	Hu 2009 (distant met VEGF)	Juul 2010 (Paclitaxel response)	Kang 2003 (bone met)	KEGG Antigen Processing and Presentation	Khoury 2010 (Trastuzumab resistance)	Khoury 2010 (HER2 untreated)	Korkola 2007 (21 genes)	Landemaine 2008 (lung met associated)	Landemaine 2008 (lung met predictor)	Li 2009 (chemotherapy 24 genes)	Lin 2010 (basal chemo 23 genes)	Liu 2007 (IGS)	Liu 2012 (HER2 TICS 17 genes)	Ma 2004 (two-gene ratio)	Martin 2008 (22 genes)	Miller 2005 (p53)	Minn 2005 (lung met 54 genes)	Minn 2005 (lung met 95 genes)	Naderi 2006 (70 genes)	Cheang 2008	Nimeus-malmstrom 2008 (local recurrence)	Saal 2007 (PTEN pathway)	Paik 2004 (OncotypeDX)	Planche 2011 (normal vs tumour stroma)	Rody 2009 (199 genes)	Rody 2009 (hemopoietic cell kinase)	Rody 2009 (immunoglobulin gamma)	Rody 2009 (interferon)	Rody 2009 (lymphocyte specific kinase)	Rody 2009 (MHC I)	Rody 2009 (MHC II)	Rody 2009 (STAT1)	Rody 2011 (TN good prognosis)	Rody 2011 (TN poor prognosis)	Sabatier 2011 (basalL MBC)	Sansregret 2011 (instability)	Schmidt 2011 (humoral immune)	Smeets 2010 (lymph node positive)	Smid 2006 (bone met)	Sotiriou 2006 (GGI)	Staff 2010 (HDPP)	Symmans 2010 (ER related)	Taube 2010 (EMT)	Teschendorff 2006 (t17)	Teschendorff 2006 (t52)	Teschendorff 2007 (immune response)	Thuerigen 2006 (neoadjuvant chemotherapy)	Tosolini 2001 (A1 Th1 cytotoxic)	Tosolini 2001 (A2 Th1)	Tosolini 2001 (B1 Th2)	Tosolini 2001 (B2 Th2)	Tosolini 2001 (B3 Th2)	Tosolini 2001 (C1 T regulatory)	Tosolini 2001 (C2 T regulatory Th2)	Tosolini 2001 (D1 Th17)	Ursini-Siegel 2010 (immune 43 genes)	Vanlaere 2008 (IBC signature)	Vantveer 2002 (MammaPrint)	Vanvliet 2008 (127 genes)	Wang 2005 (76 genes)	Watkins 2009 (CD14 monocyte)	Watkins 2009 (CD19 B cell)	Watkins 2009 (CD4 T helper)	Watkins 2009 (CD56 NK)	Watkins 2009 (CD66b granulocyte)	Watkins 2009 (CD8 cytotoxic T)	Watkins 2009 (erythroblast)	Watkins 2009 (megakaryocyte)	West 2011 (lymphocyte 8 genes)	Yau 2010 (TN poor outcome)	Unstratified predictor	ER+ predictor	ER- predictor	HER2+ predictor	HER2- predictor	ER-/HER2+ predictor	ER+/HER2+ predictor	ER-/HER2- predictor	ER+/HER2- predictor	lumA predictor	lumB predictor	normL predictor	ER+/normL predictor	her2E predictor	basalL predictor	ER-/her2E predictor	ER+/her2E predictor	ER-/basalL predictor	ER+/basalL predictor
HEATR2																																																																																																							x																						
HEATR6																																																																										x																																																			
HEBP1																																									x																																																														x																						
HEBP2		x																																																																																																																											
HECA																x																																																																																																													
HECW2																																																																																																					x																								
HELLS																																																																																			x																																										
HELZ																							x																																																																																																						
HEM1		x																																																											x				x																																																												
HEMGN																																																																													x																																																
HEMK1																																																																																			x																																										
HEPH		x																																																																																																																											
HERC2P3																																																												x																																																																	
HERC3																																																																																																					x																								
HERC5		x																																																																																																			x																								
HERPUD1		x				x																																																																	x																																																						
HES1																																																																						x																																																							
HES2																							x																																																																																																						
HES4																																																																																																					x																								
HES5																																																																																																							x																						
HESX1																																																																																			x																																										
HEXB																																																																																																	x																												
HEXIM1																				x																																																																																																									
HFE																																							x																																																																																						
HGD																							x																																																																																	x																					
HGSNAT																x																																																																																																													
HHEX		x																																																																																																																											
HHIP																																																																													x																																																
HIC2																																																																																																							x																						
HIF1A																								x																																														x																															x																								
HIGD1A																	x																																																																																																												
HIGD2A																							x																																																																																																						
HIP1																																																																																																					x																								
HIP1R																																																																																																		x																											
HIP2																																																																																																																											x		
HIST1H1C												x																																																										x																															x																								
HIST1H1D												x																																																																																																																	
HIST1H2AC						x						x																											x																																x																														x																								
HIST1H2AE						x																																			x																													x	x																																																						
HIST1H2BB																																																																						x																																																							
HIST1H2BC												x																																																																																																																	
HIST1H2BD	x											x																														x																																																											x																								
HIST1H2BE																																																																						x																															x																								
HIST1H2BF																																																																						x																																																							
HIST1H2BG																																																																						x																																																							
HIST1H2BH																																							x																															x																																																							
HIST1H2BI																																																																						x																																																							
HIST1H2BO		x																																																																				x																																																							
HIST1H3C																																																																						x																																																							
HIST1H3D																																																																						x																																																							
HIST1H3G																																																																						x																																																							
HIST1H4A												x																																																																																																																	
HIST1H4B																																																																																																							x																						
HIST1H4E																																																																																																							x																						
HIST1H4H						x																																				x				x																									x																									x																													
HIST1H4I						x																																																																																																																							
HIST1H4J																																																																							x																																																						
HIST2H2AA3												x																											x																																																														x																								
HIST2H2AA4																																							x																																																														x																								
HIST2H2AC																																																																																																					x																								
HIST2H2BE												x																																																																																																																	
HIVEP1																																																																																			x																																										
HJURP																																																																												x																																																	
HK1																																																																																																							x																						
HKDC1																																																																																																			x																										
HKR1																																																																										x																																																			
HLA-A		x																						x																x																					x					x																																																											
HLA-B		x	x																					x																x																					x					x																																																											
HLA-C			x									x																												x																					x					x																																			x																								
HLA-DMA		x	x		x																																			x		x																			x						x																																													x													
HLA-DMB		x																																						x		x																			x						x																																																										
HLA-DOA		x																																						x																																																										x																											
HLA-DOB		x				x																																		x																															x																											x																											x
HLA-DPA1		x	x																																				x	x													x	x							x						x																																																										x
HLA-DPB1		x																																					x	x														x							x						x																																																										
HLA-DQA1		x																																						x		x																			x						x																									x						x																											
HLA-DQA2			x																																					x																																																																																					
HLA-DQB1		x																																						x																																																										x																											
HLA-DRA		x	x																																				x	x		x																			x						x																																																										
HLA-DRB1		x	x		x																																		x	x														x							x						x																																																										
HLA-DRB3																																							x	x		x												x																																																																							
HLA-DRB4																																								x		x																																																																																			
HLA-DRB5			x																																					x		x																																																																																			
HLA-DRB6																																										x																																																																														x					
HLA-E		x	x																					x																x																																																																						x		x										x			
HLA-F			x									x																												x																					x					x																x																																											
HLA-G		x	x									x																												x																					x					x																																																											
HLA-H			x																																																																																																																										
HLA-J												x																																																	x					x																																																											
HLA-L			x																																																																																																																										
HLF																																																												x																																			x																														
HLTF																																																																																																							x																						
HLX																																																																																																					x																								
HM13																																																												x																																																																	
HMBS																																																																																																							x																						
HMG20B																							x																																																																																																						
HMGA1																																																																														x															x																																
HMGB1																x																																																																																																													
HMGB3																																																																												x																																																	
HMGCL	x																																																																																																																												
HMGCR																																																																						x																																																							
HMGCS1																x							x																																																																																																						
HMGCS2																																			x																																								x																																																		
HMGN1																																																																																																								x																					
HMGN2																x																																																																																																													
HMGN3																							x																																																																																																						
HMGN4			x																																																																																																																										
HMHA1					x																																																																								x																																	x															
HMMR																																																																												x																			x																														
HMOX1																																																																																																	x																												
HN1				x																																																								x																																			x						x																								
HN1L																x																																																																																																													
HNF3A																																	x																																																																																												
HNMT																																																x																																																	x																			x								x	
HNRNPA2B1																x																																																																																																													
HNRNPR																x																																																																																																													
HNRPA1	x																																																																																																																												
HNRPAB																																																																																															x																														
HNRPH2		x																																																																																																																											
HNRPK																																			x																																																																																										
HNRPU																																																										x																																																																			
HNRPUL1																																																									x																																																																				
HNT		x																																																																																																																											
HOM-TES-10		x																																																																																																																											
HOMER1		x																																																																																																																											
HOMER3																																																																																																	x																												
HOOK1																																																																															x														x																																
HOP																																																																																																				x																									
HOPX																																																																																																				x																									
HORMAD1																																												x																																																																																	
HOXA10																									x																																																																																																				
HOXA13																																																									x																																																																				
HOXB13																																																		x																																																																											
HOXB5																																																																																																							x																						
HOXB6																																																																																			x																																										
HOXC11																																																																																																																													x
HOXC4												x																																																																																																																	
HOXC6			x																																																																																																																										
HOXD4																																																												x																																																																	
HOXD8																																																												x																																																																	
HPCAL4																																																																																																			x																										
HPN																																											x																																																																																		
HPRT1																							x																																																																																																						
HPS1																																																																																																							x																						
HPS4																																																																																			x																																										
HPS5																																		x																																																																																											
HPX																																																																											x																																																		
HRAS										x																																																																																																																			
HRASLS																									x																																																																					x																															
HRASLS3	x																																																																																																																												
HRBL																																																																																																										x																			
Hs.102406																																																				x																																																																									
HS.143018																																									x																																																																																				
HS.193557																																									x																																																																																				
HS.193767																																									x																																																																																				
Hs.21948																																																				x																																																																									
Hs.232127																																																				x																																																																									
Hs.283417																																																				x																																																																									
Hs.283853																																																				x																																																																									
Hs.354427																																																				x																																																																									
Hs.446388																																																																																														x																															
Hs.518736																																																				x																																																																									
Hs.523036																																																																																														x																															
Hs.595493																																																																																														x																															
Hs.604604																																																																																														x																															
HS2ST1																																																x																																																																													
HS3ST2																																																																															x																																														
HSD11B1		x																																																																																																														x								x					
HSD17B14																																																																																																								x																					
HSD17B4	x																																																																													x																																															
HSD17B7																																																																																																					x																								
HSDL2																																																																																																					x																								
HSH2D						x																																																																	x																														x																								
HSMNP1	x																																																																																																																												
HSP105B																																											x																																																																																		
HSP90AA1																																								x																																																																																					
HSP90AB1																																								x																																																																																					
HSPA12A												x																																																																																																																	
HSPA14																																																							x																																																																						
HSPA1A	x																																							x																																		x																											x																								
HSPA1B		x																																						x																																																																																					
HSPA1L																																			x					x																																																																																					
HSPA2																																								x	x							x																																																																													
HSPA4						x																																		x																															x																																																						
HSPA4L																																																																																																							x																						
HSPA5																																								x																																																																																					
HSPA6																																								x																																																													x																								
HSPA7																																																																																																					x																								
HSPA8																																								x																																																																									x												
HSPB1	x											x																																																																																																				x													
HSPB11																x																																																																																																													
HSPB8																							x																																																																																																						
HSPBP1																																																																													x																																																
HSPC009		x																																																																																																																											
HSPC023																							x																																																																																																						
HSPC111						x																																																																																																																							
HSPC134				x																																																																																																																									
HSPC148																							x																																																																																																						
HSPC150																																																							x																																																																						
HSPC159						x																																																																	x																																																						
HSPC171																																																							x																																																																						
HSPC176																							x																																																																																																						
HSPD1																																																																																																																					x								
HSPE1																																											x																																																																																		
HSPG2						x																																																																	x																																																						
HTATIP2			x																																																																																																		x																								
HTR3A																							x																																																																																																						
HTR3B																																																																																																					x																								
HTR5A		x																																																																																																																											
HTRA1																																																																																																	x																												
HUMAUANTIG																																																				x																																																																									
HUS1																							x																																															x																																																							
HUS1B																																									x																																																																																				
HVCN1																																																																																																		x																											
HYAL1																																																																						x																																																							
HYAL3																																																																																																							x	x																					
HYLS1																x																																																																																																													
HYMAI																																																												x																																																																	
HYPK																							x																																																																																																						
IARS																																																																																			x																																										
IARS2		x																																																																																																																											
IBSP																																																																						x																																																							
ICA1L																																																																										x																																																			
ICAM1						x																																																																	x																																																						
ICAM2		x	x																																																																																																																										
ICAM3		x	x																																																																																x																		x																								x
ICAP-1A																																																																									x																																																				
ICMT			x																																													x																																																																													
ICOS		x																																																																																										x							x																										
ID-GAP																						x																																																																																																							
ID1																																																					x	x																																																																							
ID2																x																																																										x																																																			
ID3																x																																																																																		x																											
ID4																																			x																																																																																										
IDE																																																										x																																																																			
IDH2																																																						x																																																																							
IDH3G																							x																																																																																																						
IDI1																x								x																																														x																																																							
IDO1																																																																																																					x																								
IDS												x																																																																																									x																								
IER2			x																																																																							x																																																			
IER5																																																x																																																																													
IFI16		x	x		x																			x																																																																																																					
IFI27																																																													x			x																																																													
IFI30		x	x		x	x																																		x																					x	x									x								x																		x																												
IFI35		x																						x																																																																																																					
IFI44																																																													x			x																																																													
IFI44L		x	x																																																										x			x																																																													
IFIH1																																																													x							x																																																									
IFIT1																								x																																					x			x																																					x																								
IFIT2																																																																																																					x																								
IFIT3			x																					x																																					x			x																																					x																								
IFIT5			x																																																																																																																										
IFITM1		x																																																																																																																											
IFITM2																								x																																																																													x																								
IFNA1																																								x																																																																																					
IFNA10																																								x																																																																																					
IFNA13																																								x																																																																																					
IFNA14																																								x																																																																																					
IFNA16																																								x																																																																																					
IFNA17																																								x																																																																																					
IFNA2																																								x																														x																																																							
IFNA21																																								x																																																																																					
IFNA4																																								x																																																																																					
IFNA5																																								x																																																																																					
IFNA6																																								x																																																																																					
IFNA7																																								x																																																																																					
IFNA8																																								x																																																																																					
IFNAR1																																																																																																					x																								
IFNAR2		x																														x																																																																					x																								
IFNG		x						x																				x		x																																																						x								x																																	
IFNGR1																																																																																						x																																							
IFNGR2																																																																																						x																																							
IFRD1																																																																														x																							x																								
IFRD2																x							x																																																																																																						
IFRG28		x																																																																																																																											
IFT122																																																																																																							x																						
IFT20			x																																																																																																																										
IFT57																																																																																																		x																											
IFT88																																																																												x																	x																																
IGBP1																x																																																																																																													
IGF1																																																																																															x																				x										
IGF1R																																																																														x																																															
IGF2			x																																																																																																																										
IGF2BP2																																																																																																																						x							
IGF2R																																																																																																					x																								
IGFBP1												x																																																																																																																	
IGFBP2																																																																															x																																														
IGFBP3																																																																															x																																														
IGFBP4	x																																			x																																											x																																														
IGFBP5																																																																										x																				x																															
IGFBP6																																																																																															x												x								x										
IGFBP7																							x																																																																													x																									
IGFL2																																																																																																							x																						
IGH@																																																													x		x						x																								x																																
IGHA1		x	x																																																																																										x																																
IGHD		x																																																											x		x																																																														
IGHG1																																																													x		x												x																	x																															x		
IGHG2																																																																																												x						x																											
IGHG3																																																													x		x										x																																									x											
IGHM		x																																																											x		x										x		x																	x	x																x																x
IGHV1-46																																																																																																		x																											
IGHV1-58																																																																																																		x																											
IGHV2-26																																																																																																		x																											
IGHV3-49																																																																																																		x																											
IGJ		x	x																																																																																									x						x																											
IGJ 																																																																									x																																																				
IGKC			x																																																										x		x						x				x																																																		x		
IGKC 			x																																																																						x																																																				
IGKV1-33																																																																																																		x																											
IGKV1-5		x																																																																																																																											
IGKV1-9																																																																																																		x																											
IGKV1D-13		x																																																																																																																									x		
IGKV1D-13 																																																																									x																																																				
IGKV1D-33																																																																																																		x																											
IGKV1D-43																																																																																																		x																											
IGKV1D-8			x																																																																																															x																											
IGKV1D13																																																													x		x																																																														
IGKV1OR15-118																																																																																																																		x									x		
IGKV1OR2-108																																																																																																													x					x											
IGKV2-30																																																																																																		x																											
IGKV2-40																																																																																																		x																											
IGKV2D-30																																																																																																		x																											
IGKV3-11																																																																																																		x																											
IGKV3-20			x																																																																																															x																											
IGKV3D-11																																																																																																		x																											
IGKV3D-20																																																																																																		x																											
IGKV5-2																																																																																																		x																											
IGKV6-21																																																																																																		x																											
IGL			x																																																										x		x																																																														
IGL @			x																																																																																																																										
IGL@																																																													x		x						x		x		x																				x																														x		
IGLC1		x	x																																																																																																																										
IGLC2																																																													x		x						x													x																																											
IGLJ3		x				x																																																							x		x										x																				x																																
IGLL1		x																																								x																			x		x																																																														
IGLV1-44																																																																																													x																																
