Gene	Abba 2005 (ER)	Alexe 2007 (lymphocytic genes)	Ascierto 2012 (immune 349 genes)	Ayers 2004 (pCR elevated)	Beck 2009 (CSF1 macrophage)	Bertucci 2006 (ductal vs medullary)	Bianchini 2010 (22 genes)	Biocarta IL12	Biocarta IL13	Biocarta IL2	Biocarta IL4	Bos 2009 (brain met cell line)	Bos 2009 (brain met human)	Carter 2006 (CIN 25)	Carter 2006 (CIN 70)	Chang 2004 (CSR)	Chanrion 2008 (Tamoxifen 36 genes)	Cheang 2008 (TN prognostic predictor)	Choi 2010 (quintuple negative)	Coutant 2011 (ER- 30 genes)	Coutant 2011 (ER+ 39 genes)	Dai 2005 (cell proliferation)	Dairkee 2007 (oxidative stress)	Der 1998 (interferon induced)	Finak 2008 (SDPP)	Filipits 2011 (ER+/HER2- PCR 11 genes)	Galon 2006 (immune suppression)	Galon 2006 (immunogenes)	Galon 2006 (inflammation)	Galon 2006 (Th1 adaptive immunity)	Glinsky 2005 (poor prognosis)	Goldrath (immune memory)	Habermann 2009 (genomic instability)	RBHallett 2012 (basal 14 genes)	Hannemann 2006 (invasiveness)	Hess 2006 (pCR chemotherapy)	Hu 2009 (distant met VEGF)	Juul 2010 (Paclitaxel response)	Kang 2003 (bone met)	KEGG Antigen Processing and Presentation	Khoury 2010 (Trastuzumab resistance)	Khoury 2010 (HER2 untreated)	Korkola 2007 (21 genes)	Landemaine 2008 (lung met associated)	Landemaine 2008 (lung met predictor)	Li 2009 (chemotherapy 24 genes)	Lin 2010 (basal chemo 23 genes)	Liu 2007 (IGS)	Liu 2012 (HER2 TICS 17 genes)	Ma 2004 (two-gene ratio)	Martin 2008 (22 genes)	Miller 2005 (p53)	Minn 2005 (lung met 54 genes)	Minn 2005 (lung met 95 genes)	Naderi 2006 (70 genes)	Cheang 2008	Nimeus-malmstrom 2008 (local recurrence)	Saal 2007 (PTEN pathway)	Paik 2004 (OncotypeDX)	Planche 2011 (normal vs tumour stroma)	Rody 2009 (199 genes)	Rody 2009 (hemopoietic cell kinase)	Rody 2009 (immunoglobulin gamma)	Rody 2009 (interferon)	Rody 2009 (lymphocyte specific kinase)	Rody 2009 (MHC I)	Rody 2009 (MHC II)	Rody 2009 (STAT1)	Rody 2011 (TN good prognosis)	Rody 2011 (TN poor prognosis)	Sabatier 2011 (basalL MBC)	Sansregret 2011 (instability)	Schmidt 2011 (humoral immune)	Smeets 2010 (lymph node positive)	Smid 2006 (bone met)	Sotiriou 2006 (GGI)	Staff 2010 (HDPP)	Symmans 2010 (ER related)	Taube 2010 (EMT)	Teschendorff 2006 (t17)	Teschendorff 2006 (t52)	Teschendorff 2007 (immune response)	Thuerigen 2006 (neoadjuvant chemotherapy)	Tosolini 2001 (A1 Th1 cytotoxic)	Tosolini 2001 (A2 Th1)	Tosolini 2001 (B1 Th2)	Tosolini 2001 (B2 Th2)	Tosolini 2001 (B3 Th2)	Tosolini 2001 (C1 T regulatory)	Tosolini 2001 (C2 T regulatory Th2)	Tosolini 2001 (D1 Th17)	Ursini-Siegel 2010 (immune 43 genes)	Vanlaere 2008 (IBC signature)	Vantveer 2002 (MammaPrint)	Vanvliet 2008 (127 genes)	Wang 2005 (76 genes)	Watkins 2009 (CD14 monocyte)	Watkins 2009 (CD19 B cell)	Watkins 2009 (CD4 T helper)	Watkins 2009 (CD56 NK)	Watkins 2009 (CD66b granulocyte)	Watkins 2009 (CD8 cytotoxic T)	Watkins 2009 (erythroblast)	Watkins 2009 (megakaryocyte)	West 2011 (lymphocyte 8 genes)	Yau 2010 (TN poor outcome)	Unstratified predictor	ER+ predictor	ER- predictor	HER2+ predictor	HER2- predictor	ER-/HER2+ predictor	ER+/HER2+ predictor	ER-/HER2- predictor	ER+/HER2- predictor	lumA predictor	lumB predictor	normL predictor	ER+/normL predictor	her2E predictor	basalL predictor	ER-/her2E predictor	ER+/her2E predictor	ER-/basalL predictor	ER+/basalL predictor
ANKRD20A1																																																												x																																																																	
ANKRD22						x																																																																	x																														x																								
ANKRD25						x																																																																									x																																														
ANKRD29																																																												x																																																																	
ANKRD30A																																																																																													x																																
ANKRD33																																																																																																	x																												
ANKRD36B																																																												x																																																																	
ANKRD47																							x																																																																																																						
ANKRD50																																																																																																	x																												
ANKRD57																																																																																													x																																
ANKRD9																																																																										x																																																			
ANKS1A																																																												x																																																																	
ANO1																																																																							x																																																						
ANP32A																																																																						x																															x																								
ANP32B																																																										x																																																																			
ANP32C																																		x																																																																																											
ANP32E																																												x	x																																																																																
ANPEP																																																																													x																								x																								
ANTXR2																																x																																																																																													
ANXA11																																																																																																					x																								
ANXA2																																																																						x																																																							
ANXA2P1																																																																																																	x																												
ANXA2P3																																																																																																																												x	
ANXA3																																																																															x																						x																								
ANXA4			x																																																																																																																										
ANXA5																																																							x																																										x																												
ANXA7						x																																																																	x																																																						
ANXA8				x																																																																											x																																														
ANXA8L1																																																																															x																																														
ANXA9	x																																																																										x			x															x																																
AOAH		x	x																																																																																																																										
AOC3						x																																																						x											x																																																						
AOP5																																																							x																																																																						
AOX1																																							x																																																																																						
AP1G2																																																																																			x																																										
AP1M2																																																																															x														x																																
AP1S2																																																																																																	x																												
AP2A2																																																																																																x																													
AP2B1																																																																																														x																															
AP2S1																																																												x																																																																	
AP3M2																								x																																																																																																					
AP4B1																							x																																																																																																						
APBA2		x																																																																																																																											
APBB1IP																																																																																																					x																								
APBB2																																																																														x					x										x																																
APC2																																			x																																																																																										
APEG1						x																																																																																																																							
APG10L																																																										x																									x																																										
APH-1A				x																																																																																																																									
API5																																																																																																																													x
APLP2																																																x																																																	x																												
APM2	x																																																																																																																												
APOA1																																																																						x																																																							
APOBEC3A		x																																																																																																																											
APOBEC3B																							x																																			x																																																																			
APOBEC3C		x																																																																																																																											
APOBEC3F		x																																																																																																																x											
APOBEC3G			x																																																			x																																																							x																
APOC1					x																																																																																																		x																						
APOC4		x																																																																																																																											
APOD																x																																																																																																													
APOE		x	x	x	x	x																																																																	x																																x																						
APOL1		x																																																																																																																									x		
APOL2		x																																																																																																																											
APOL3		x	x																																																																		x																																								x												x		x		
APOL5		x																																																																																																																											
APOO																x																																																																																																													
APP																x																																																																																																													
APPL																																			x																																																																																										
APPL2												x																																																																																																																	
APS																							x																																																																																																						
AQP1						x																													x																									x											x																																																						
AQP12A			x																																																																																																																										
AQP2																																																																																																							x																						
AQP3																																																																						x																													x																										
AQP9																																x																																																																					x																								
AR	x																																																																																																																												
