Gene Symbol	1B	2B	3B	8B	9B	10B	11B	13B	14B	16B	17B
AATK	7.326705406	7.136469185	7.572051201	7.114659005	7.549570509	7.321679549	10.66514648	7.253687697	7.441702464	8.067926648	7.261683952
AATK	7.18075536	7.076262007	7.190495124	7.15964316	8.273838689	7.0129591	7.12251213	7.188585192	7.224875387	7.266632128	7.323977475
ABAT	7.462914498	7.227916143	7.548615128	7.187617556	7.326898247	7.403163933	7.412160293	7.292331383	7.299089558	7.365844659	7.219476313
ABAT	9.73439549	9.901271995	9.755255086	9.397175944	8.254510491	8.87243405	7.717653722	9.964512877	10.33790718	10.36635634	9.288750858
ABAT	11.22698617	11.27125909	10.30171835	10.89036177	11.29210431	11.10975658	11.23893068	12.13914452	12.27121735	11.72145743	11.76673963
ABCA1	13.52472969	13.97872689	13.35881879	14.38912147	13.81841042	13.74602289	14.34567841	13.79219985	13.69702895	13.80062223	13.9278144
ABCA11P	7.610540574	7.54272673	7.9366052	7.481798252	8.351781172	7.542881514	7.612564905	7.979403394	7.830799036	7.440167905	8.097024299
ABCA12	7.810842172	7.765303724	8.217698613	9.384479721	7.942663997	9.801744622	9.169262628	7.646149391	7.872559187	7.613575195	7.702488683
ABCA12	8.362957274	8.120399101	9.069476181	8.805945364	8.19066196	9.967416828	8.782194725	7.971737418	8.517016698	8.742706206	8.115762261
ABCA2	10.69958207	9.298779625	10.69334506	7.614909982	7.663882572	9.834224642	8.25390907	8.828427679	8.017139955	7.837318697	7.908691068
ABCA2	8.870955185	9.308830437	7.576189429	10.27509674	8.918947938	8.826029433	10.12415062	8.963668881	7.510757184	8.784722065	9.284770573
ABCA3	11.75551762	12.28453663	12.36763795	12.95450269	11.99130786	12.65730548	12.74802915	11.67158341	11.97057541	11.51549411	12.37017565
ABCA4	7.367569036	8.422751779	9.404702797	9.902331603	9.930394595	9.902508798	7.208749967	10.6276515	9.054916374	8.968206075	10.2606389
ABCA5	9.544160493	9.494904892	7.180732454	7.639474983	7.039252818	7.181744985	7.142629708	8.610802649	7.141387113	9.26942022	8.25481514
ABCA5	7.630381137	8.507502826	7.827840062	7.579917819	7.549570509	7.55003039	7.976342128	8.662666209	8.599275472	7.723991439	7.694147935
ABCA5	10.62697558	11.25366924	10.70321973	10.46107792	11.04891101	10.97857541	10.93850878	11.377175	10.94650886	11.09596112	11.3681292
ABCA6	10.88031382	12.70144159	9.42358963	9.99971752	9.684305843	11.4028467	11.02528854	12.34410379	13.23448149	12.74058909	12.19780063
ABCA6	11.95949971	12.96239915	10.17224415	9.740618331	10.14328636	10.93201067	11.68609133	13.17134155	13.95109406	13.96968378	12.41688918
ABCA7	7.060589634	7.165965972	7.271846639	7.185822609	7.193041225	7.144409259	7.177776795	7.108154997	7.120422321	7.247529564	7.121292746
ABCA7	10.68185785	7.223062621	7.548615128	8.915211273	9.216979576	9.012148659	7.489202095	8.891299401	7.274317268	7.278047448	8.944369693
ABCA7	7.161779762	6.941967323	7.092977146	7.741534672	9.338976479	7.152974992	7.04379052	8.577672278	7.028255239	6.957651139	7.083389768
ABCA8	12.58328635	13.32912783	10.74368884	11.27015295	11.05546536	12.85324401	13.79984952	13.18363544	13.38606608	13.22922512	12.97660089
ABCB1	7.197297052	7.138843506	7.252338286	7.168306837	7.20927702	7.140421622	10.84282608	8.164756928	7.32856436	7.206622231	9.391709434
ABCB11	7.101715323	6.997896417	7.488271443	7.245504539	7.458450125	7.203100267	7.489202095	7.250102604	7.178772506	7.161452172	7.012055367
