Gene Symbol	1A	2A	3A	8A	9A	10A-avg	11A	13A	14A-avg	16A-avg	17A
ABCB6	12.35134686	11.72032289	12.54392369	11.71796457	11.79638046	12.86797624	11.48990363	11.61578414	11.48147249	11.96768277	11.39156137
ABCB7	10.81601777	11.13212903	11.30671274	8.280684242	11.4412432	10.91536221	10.37177004	11.17374103	9.863912014	10.38819029	7.608149052
ABCB8	8.215983821	11.46349205	9.840095855	7.371762377	9.148739409	9.685445344	12.01708284	7.603954654	9.622983176	8.78352593	8.62637642
ABCB9	7.133986721	7.215577724	7.021993749	7.521370446	7.027866624	7.044631533	7.136802858	7.102169148	7.510507277	7.243487762	7.319868021
ABCB9	12.00683694	10.90555699	10.95290659	11.64955009	13.25710292	13.04745987	12.6334426	11.28031951	10.80596997	11.20549982	11.52365616
ABCB9	12.25491138	12.91580311	12.69294143	11.86320619	13.65082337	13.06781605	13.20064218	11.48879604	12.34735949	11.06067503	11.00809239
ABCC1	10.26363021	11.77420903	11.17947315	10.20027515	9.596636359	10.83532898	11.03118164	9.477126426	11.4137958	10.15243468	10.70938027
ABCC1	8.301628537	8.061024224	9.932253689	7.806331705	8.167131643	8.443239669	7.954191642	7.53457102	8.634223805	8.008680324	7.866844059
ABCC10	11.8223977	9.849589366	10.72490619	12.93436343	10.71539698	11.68731448	10.81034842	11.18840385	11.09031432	11.79744975	12.25829086
ABCC2	7.615091032	7.241270157	7.358469281	7.334739288	8.186558009	7.355817424	7.894087274	8.253547818	7.533860436	7.479828717	7.978246988
ABCC3	7.29545561	7.60955468	7.994915659	7.521370446	7.243455969	8.024067942	7.705900901	7.78507109	7.992269528	8.078896645	7.736010927
ABCC4	8.858359608	8.432472117	9.271525806	8.014828279	9.400179774	9.208511761	10.2109986	10.1385168	8.410921819	8.783895699	7.639790606
ABCC5	12.25664566	13.53744555	11.25366924	11.47805238	14.28726957	13.72076763	13.23879459	14.38337558	12.93309529	12.27900779	11.38382856
ABCC5	12.74058909	13.38903464	11.63929843	12.63898723	13.63566667	13.73245138	11.57726027	13.39690017	12.24089915	12.82327408	12.75056875
ABCC5	9.436571023	11.22523869	8.36865689	7.028676391	10.93313055	10.21062691	7.854933499	9.8318236	9.314033896	9.079301499	9.914575742
ABCC6	7.518355956	7.861565289	7.562654695	7.628583089	7.941275446	7.596974548	8.821079504	7.765474352	8.194230341	7.945417548	8.18987938
ABCC6	7.24663368	7.991089022	7.347314351	8.084213914	8.390551253	7.449994748	7.751355908	7.470044681	7.524091575	7.280592215	7.495939433
ABCC6	7.458342012	8.947605668	7.447912431	7.215989518	10.11752153	8.068096444	8.940308061	7.674485749	8.337924283	7.446094489	8.183277766
ABCC6	6.892199111	8.018568034	7.327200096	6.98933011	8.692436389	7.335169085	6.818472024	7.655199566	8.669889429	7.263484499	7.104387953
ABCC6	7.2472622	8.369297083	7.154327527	8.205074817	8.503956152	7.357123305	8.132660303	7.40543657	8.299740406	7.391357524	7.874929461
ABCC8	7.441760407	13.14657955	7.387242882	10.89974104	11.92396378	11.04974753	12.62063944	10.42661064	9.394829386	12.05179221	10.94650886
ABCC9	10.65483586	11.13617689	10.54874583	7.4373621	11.36361062	9.80566953	7.921562387	8.846168018	10.11158525	9.45125688	9.648086983
ABCC9	7.436029707	7.846046634	7.513188682	8.109716742	7.390110064	7.461627015	8.432317165	7.747883879	7.9422649	7.506725018	7.287321986
ABCD1	9.911067475	7.451616277	8.111418497	9.596636359	7.668167633	10.58777216	7.326268039	8.861595565	8.502589764	9.974579497	11.36185699
ABCD2	7.612631568	7.907010827	8.038790396	8.350644573	8.105270044	7.391759456	7.104042983	9.843160978	7.858500069	7.766958887	7.94487492
ABCD4	8.621263022	8.714380724	7.089748927	9.585877517	9.671391936	8.541135915	7.171609662	9.408534486	7.974291917	8.918987739	9.15301203
ABCD4	7.353348058	7.169253751	7.258772314	7.271981578	8.070795033	7.352259845	7.693637283	7.341307431	7.459300341	7.372770511	7.401480815
ABCE1	11.29881679	12.1629838	12.31380963	10.92945215	12.20525092	11.4182328	10.9608549	11.76101267	11.2891864	11.2516217	10.31295206
ABCE1	7.818000882	8.318600155	8.387257526	7.088731997	7.463529014	7.419264858	7.218111018	8.256783882	8.230808017	8.000830523	7.480608356
ABCF1	14.33936572	13.97598527	13.95842484	14.08829854	14.00528959	13.99933962	13.95027408	13.98289074	13.20969172	13.81840151	13.57777985
ABCF1	12.27082139	11.34048487	11.97955821	12.23239804	11.24531134	11.66198303	11.78236335	11.13521946	10.58063039	11.88933186	12.17145087
ABCF2	10.09452252	9.43344357	10.54469272	7.351895786	7.688082181	9.118207874	7.136802858	9.581821971	9.089150111	9.340466735	8.841796743
ABCF2	10.25034857	10.00045217	11.4432922	7.552665899	9.870048866	10.38346503	7.322364384	10.1492398	10.60218792	10.18935155	10.03906754
ABCF2	7.90947404	7.318403933	7.314637988	7.84275578	7.362793602	8.094233731	7.602245938	7.298814401	8.706482068	8.279743316	8.921950902
ABCF3	10.53560239	10.95400476	9.34267516	9.914093376	10.8480634	11.13611093	11.45958407	11.50920455	10.19569423	11.04748397	11.1456879
ABCG2	9.318455616	8.980961498	7.032829019	9.659027892	9.777108867	9.178838466	6.985036876	8.948235269	8.777438089	9.582876069	9.9528912
ABCG4	10.14365539	12.6334426	9.73252139	7.677271597	11.66591845	10.67125138	11.85804589	11.01870621	9.938974319	9.013403954	9.016628498
ABCG5	7.916893969	8.047965816	8.281730166	7.786784228	8.054633962	7.955731624	9.902331603	8.486360423	8.610668301	8.294348773	9.113139311
ABHD10	12.12249928	11.49474438	10.86103561	10.97597856	12.05767707	11.99923993	11.94037295	12.60814553	11.82910935	11.90257027	11.01997892
ABHD14A	10.68946782	11.77697384	11.11726545	11.27415333	10.25834556	10.20779541	9.633333761	11.46690519	11.1765994	11.34018828	11.11793055
ABHD2	8.59795122	9.537520525	7.640878853	7.279465724	9.451518614	8.855075789	10.40300019	10.66787855	9.774023235	8.263657133	7.83845712
ABHD2	7.899740242	9.941894591	8.017517618	10.5956115	8.099153478	8.238527399	10.02621543	8.467150214	9.620829897	9.030160743	10.37390659
