gene	X102	X121	X148	X153	X169	X44	X45	X79	X96
CCS	1.75805385960937	-0.0803397420777474	0.911026012562964	-0.326922883634659	-0.360621227587749	0.289192628065058	0.141827650316435	-0.454583859424792	-1.87763243782888
CCT2	-0.412721460625397	1.02216060396654	-1.17089092118442	-0.480342284229174	0.462221756602658	-1.09786025590397	-0.163679316857328	-0.0900258115826048	1.93113768981371
CCT3	0.779221883130789	0.603371631384179	-0.621134314804757	0.348788991634572	-0.507992573026599	-1.5435119493627	0.06698760158576	-0.884634998109862	1.75890372756862
CCT4	-0.553484757750488	-1.06709847036211	-0.431775212132113	0.334984999556086	0.648883455337182	-1.54261002670893	0.591899120099143	0.279297573463488	1.73990331849773
CCT5	0.791765458556981	-0.561129652669396	0.562736511570739	-0.646375874283655	0.304821536849588	-1.38622064709612	0.755458526243655	-1.27480702123374	1.45375116206194
CCT6A	-0.0628480539935849	-0.660444549974093	-0.614777987208818	-0.773027776495867	1.10665740119635	-1.15031076213782	-0.2395936872236	0.451322981604137	1.94302243423329
CCT6B	0.611807457439184	-1.46662917441678	-0.486425700021484	-0.101865571401752	0.746718855236216	-0.932993663926153	-0.289479809580224	1.92763128104371	-0.00876367437272202
CCT7	0.909743203672386	-1.21276232632031	0.224600349683052	0.23860237557526	0.944449154170378	-0.0874887838810228	1.33320142635429	-1.45362570219081	-0.896719697063226
CCT8	-0.496155721288104	0.0629972445707158	-0.303204005771696	-0.132671022052727	0.709075376041136	-1.96068858747673	0.961735501210875	-0.341621527303761	1.50053274207029
CCT8L2	-0.8305738059792	-0.1886241712609	2.43981962539531	-0.427419572342208	0.481400880818523	-0.0678328617469747	-0.639944502782713	-0.699065265844397	-0.0677603262574419
CCZ1	0.602661014259041	0.209032372719977	-1.35807885978465	-0.100303616648387	-1.03671276620366	-0.550822056644642	1.98475322317127	0.566393978121016	-0.316923288989959
CD101	-0.831582125227429	0.636430445444491	-0.0486468981594665	0.126141613016243	1.20924040150558	1.1714893560317	-0.364757836862374	-1.97766402981936	0.0793490740706137
CD14	0.736596481243201	0.0472632742895475	0.0834133213403378	0.240809582844523	-0.314650717157985	-2.39948439291046	1.19912898230667	0.284117400585191	0.122806067458972
CD151	0.303918691298935	-0.128612779275865	1.09152314316847	0.711302984696507	-0.432903400054723	0.742725449641105	0.449353228734184	-0.500803722387443	-2.23650359582118
CD160	-0.967556469290113	0.44765544152588	0.839097584098512	-1.20013839966433	0.396285843652296	-1.45966112723578	-0.0742195115568771	0.568464815473939	1.45007182299647
CD163	0.45608427009295	-0.362922407394478	-0.816297368985456	-0.447509288721613	-1.08227692462114	0.719113042348605	-0.386702223018377	-0.287042014183605	2.20755291448311
CD164	0.818208343110353	1.76398527767942	-0.143403252823895	-0.926897228740384	-1.3494585940541	-0.523001033815041	-0.0829974916801342	0.976552292122756	-0.53298831179898
CD177	-2.34877527355651	0.257728573295037	0.520355563353583	1.11365899685906	-0.169540799994963	-0.194595307643545	0.826251973739723	0.277197087045831	-0.282280813098226
CD180	0.642537483274702	0.321522803320387	0.00980104343934762	0.713366224382384	0.597409630816632	-2.00262625483359	1.13193732579518	-0.302954258337504	-1.11099399785754
CD19	-1.00761756398451	0.404140149226202	0.22878714376599	-1.64364977544675	-0.0595993293554359	1.78484034250301	0.207871717922234	-0.602134283767783	0.687361599137036
CD1A	-0.229066550694729	0.886517894256337	-0.782937956251192	-0.730041774464027	0.36249882011892	-1.48900991212381	1.39690553603989	-0.586230458856409	1.17136440197502
CD1B	-1.3414612955981	1.50646313727894	0.255646570240301	0.894585471000569	0.534222144799739	-1.3414612955981	0.125464426268375	-0.934841135516732	0.301381977125011
CD1C	-0.84111547080362	1.66200895241759	-0.663972323216236	0.365909213332391	-1.2741775901548	1.31855804541387	-0.183228039570281	-0.684984524026592	0.301001736607678
CD1D	-0.915021687420895	0.108832677695844	0.568643123352707	0.510326417994954	-0.909862876581364	2.2073192531028	-0.440363127065497	-0.433090575436096	-0.696783205642455
CD1E	-0.957557105035561	0.0151164169548872	0.0462688087980162	0.202211535616768	0.591125747269548	-1.38342098392824	-0.6883114052473	0.102804206333134	2.07176277923874
CD2	1.27442160956941	0.199123549852066	0.583990566825295	-0.547085979393488	-0.00441106316694827	-1.43054108304931	-1.01458008880463	1.51334998082787	-0.574267492660245
